PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,0.2711736617,1,0,0.01415105756,2
2,1,1,2,0.4722292033,1,0,0.1391357354,1
3,1,3,2,0.3214375471,0,0,0.01546856982,2
4,1,1,2,0.4345312893,1,0,0.1036442975,2
5,0,3,1,0.4345312893,0,0,0.01571255357,2
6,0,3,1,0.7863784871,0,0,0.01650950209,3
7,0,1,1,0.6732847449,0,0,0.1012288583,2
8,0,3,1,0.01985423473,3,1,0.04113566043,2
9,1,3,2,0.3340035185,0,2,0.02173075437,2
10,1,2,2,0.1706458909,1,0,0.05869429265,1
11,1,3,2,0.04498617743,1,1,0.03259622914,2
12,1,1,2,0.7235486303,0,0,0.05182214873,2
13,0,3,1,0.246041719,0,0,0.01571255357,2
14,0,3,1,0.4847951747,1,5,0.06104473452,2
15,0,3,2,0.1706458909,0,0,0.01533037742,2
16,1,2,2,0.6858507163,0,0,0.03122992014,2
17,0,3,1,0.01985423473,4,1,0.056848214,3
18,1,2,1,0.246041719,0,0,0.02537431011,2
19,0,3,2,0.3842674039,1,0,0.03513366015,2
20,1,3,2,0.8743402865,0,0,0.01410226081,1
21,0,2,1,0.4345312893,0,0,0.05074862022,2
22,1,2,1,0.4219653179,0,0,0.02537431011,2
23,1,3,2,0.1832118623,0,0,0.01567195467,3
24,1,1,1,0.3465694898,0,0,0.0692913853,2
25,0,3,2,0.09525006283,3,1,0.04113566043,2
26,1,3,2,0.4722292033,1,5,0.06126431989,2
27,0,3,1,0.7863784871,0,0,0.01410226081,1
28,0,1,1,0.2334757477,3,2,0.5133418123,2
29,1,3,2,0.04498617743,0,0,0.01537917417,3
30,0,3,1,0.6984166876,0,0,0.01541157521,2
31,0,1,1,0.497361146,0,0,0.05410739813,1
32,1,1,2,0.6607187736,1,0,0.2859895552,1
33,1,3,2,0.8869062579,0,0,0.01512699257,3
34,0,2,1,0.8240764011,0,0,0.02049463509,2
35,0,1,1,0.3465694898,1,0,0.1603867201,1
36,0,1,1,0.5224930887,1,0,0.1014972404,2
37,1,3,1,0.6984166876,0,0,0.01411045867,1
38,0,3,1,0.2586076904,0,0,0.01571255357,2
39,0,3,2,0.2209097763,2,0,0.03513366015,2
40,1,3,2,0.1706458909,1,0,0.02194233708,1
41,0,3,2,0.497361146,1,0,0.01849396833,2
42,0,2,2,0.3340035185,1,0,0.04098927018,2
43,0,3,1,0.1329479769,0,0,0.01541157521,1
44,1,2,2,0.03242020608,1,2,0.08115719346,1
45,1,3,2,0.2334757477,0,0,0.01537917417,3
46,0,3,1,1,0,0,0.01571255357,2
47,0,3,1,0.08268409148,1,0,0.03025398513,3
